,word0,word1,word2,word3,word4,word5
0,dorchester,mattapan,roxbury,charlestown,roslindale,freeport
1,roxbury,mattapan,dorchester,charlestown,jamaica,west
2,mattapan,roslindale,dorchester,roxbury,jamaica,neighborhood
3,hyde,park,southernmost,phipps,chesterfield,carolyn
4,fenway,kenmore,stitch,pavilion,yawkey,ymca
5,beacon,hill,savin,copp’s,brownstone,298
6,hill,beacon,mission,savin,copp’s,telegraph
7,downtown,newmarket,condominium,revitalization,crossing,seaport
8,south,revitalizing,east,north,shunning,waterfront
9,boston,riddle,shattuck,moscaritolo,boston’s,ragland
10,east,south,melnea,reservation,methodist,lubec
11,bay,tower’s,connector,brownstone,chinatown,weiner
12,jamaica,plain,aquinas,mildred,mattapan,roxbury
13,plain,jamaica,roxbury,arboretum,aquinas,mattapan
14,end,south,roca’s,revitalizing,salivated,squirrely
15,charlestown,roxbury,mildred,brewster,jamaica,roca’s
16,brighton,allston,$115,intuitive,frias,ciommo
17,allston,brighton,decie,populated,alpha,cass
18,west,roxbury,epicenter,florissant,africa,centre
19,roslindale,mattapan,dorchester’s,daylight,neponset,milton
20,north,shore,carolina,andover,dakota,3nw
21,end,south,roca’s,revitalizing,salivated,squirrely
22,mission,hill,allston,brighton,copp’s,clair
23,waterfront,booming,seaport,prudential,sprawling,revitalizing
24,harbor,rink,arcade,dilapidated,annex,waterfront
25,islands,southeast,andaman,malibu,bluffs,cruises
26,longwood,625,ruggles,in”,southampton,wendover
27,625,3200,ntrash,hazelton,harwood,239
28,ruggles,wendover,625,quincefield,bounded,rowhouse
29,in”,“die,15½,observances,104,wishers
30,southampton,ruggles,longwood,newmarket,298,1789
31,wendover,quincefield,richmond,cawfield,ruggles,bromfield
