,word0,word1,word2,word3,word4,word5
0,dorchester,mattapan,bragdon,intervale,annunciation,yanuel
1,roxbury,west,dorchester,sprawls,bragdon,hennigan
2,mattapan,dorchester,roxbury,“construction,tontine,tenements
3,hyde,park,okafor’s,tangvik,chittick,mattapan
4,fenway,park,listless,seeped,filtering,homestand
5,beacon,solons,hill,retinue,novak’s,arithmetic
6,hill,savin,beacon,bunker,“construction,avenue
7,downtown,booms,crossing’s,lowell’s,janetha,intimations
8,south,end,langone,nbulldozers,carolina’s,nstadig
9,boston,ymca,undisputable,027,”michael,”interim
10,east,charlestown,xa0allston,dracut,nstadig,langone
11,bay,nstadig,erbaluce,parishioners—,“concrete,fortress”
12,jamaica,plain,plain’s,nehar,hennigan,higginson
13,plain,jamaica,farmers’,nehar,roslindale,germania
14,end,south,carolina’s,tenements,salutary,nstadig
15,charlestown,xa0harrison,east,langone,xa0allston,sprawls
16,brighton,allston,winship,erbaluce,shojo,lyon
17,allston,brighton,buildout,—a,albany,”he’ll
18,west,roxbury,nbulldozers,gastrointestinal,coyle,nile
19,roslindale,jamaica,higginson,mattapan,unluckily,plain
20,north,shore,south,ashuwillticook,cos,jetty
21,end,south,carolina’s,tenements,salutary,nstadig
22,mission,hennigan,giordano,lawanda,intertwining,”ferrell
23,waterfront,developable,piers,shanties,“megaplex”,bulfinch
24,harbor,waterfront,kvæsthus,juts,accommodating,boothbay
25,islands,virgin,walloped,coastal,southeastern,blanketed
26,longwood,offstreet,multiuse,connector,busby,consolidated
27,offstreet,termini,tontine,limitedstop,buildout,ncreate
28,multiuse,sw,offstreet,neighborways,lma,connector
29,connector,multiuse,sw,albany,packards,neighborways
30,busby,janetha,aggravation,termini,offstreet,signalized
31,consolidated,enhancements,enlarging,interline,terminus,aggravation
