,word0,word1,word2,word3,word4,word5
0,man,woman,ismaaiyl,brinsley,erie,wheatland
1,woman,man,kayleigh,legrice,furlough,ballantyne
2,men,women,unaccountable,biologically,nightspot,humvees
3,women,men,sexualized,males’,breastfeed,maids
4,male,female,equivalents,‘crisis,fumed,males
5,female,male,boarder,biologically,women,armando
6,person,”leigh,reason”,”mulhern,someone,”“he’s
7,people,them,those,’’few,individuals”,misconceptions
8,community,ministerial,isbcc,dixit,fear”,solver
9,neighborhood,“dudley,revitalization,lafrazia,blight,community
10,child,mother,nightlight,children,“seriously,joselyn
11,children,families,kids,parents,child,ancrum
12,kid,meanest,ached,inquisitive,ballplayer’s,“upstairs
13,youth,youthfulness,folgert,antiviolence,mireles,mosque’s
14,business,bain’s,wahlburgers,morningside,”chan,centrix
15,company,verizon,company’s,ameresco,ios,nisource
16,black,white,lgbtqa,heighten,“bullying,unaccountable
17,haitian,borges,dambreville,geralde,”jacques,nepali
18,caribbean,diaspora,carnival,honduras,lowell■,garifuna
19,jamaican,bride,derbyshire,stuyvesant,laguerre,plastics
20,dominican,republic,manoguayabo,emigrated,rican,puerto
21,republic,dominican,emigrated,manoguayabo,kyrgyzstan,cornelio
22,manoguayabo,outcountry,oozing,jhonny,duality,guiana
23,emigrated,sumbul,mogadishu,cornelio,welder,immigrated
24,rican,puerto,doña,chayanne,dominican,christmases
25,puerto,rico,rican,ricans,trinidad,rico’s
