,word0,word1,word2,word3,word4,word5
0,dorchester,hyde_park,mattapan,jamaica_plain,roxbury,gallivan
1,roxbury,neighborhood,dorchester,south_end,dudley,hyde_park
2,mattapan,hyde_park,dorchester,“three,jamaica_plain,roslindale
3,hyde_park,gallivan,almont,armory,greenwood,fairview
4,fenway,park,“kind,shelled,abcd,emerald
5,beacon_hill,profligate,rezone,jockeying,vestige,sneakily
6,downtown,crossing,workday,freeport,unloved,chrisleen
7,south_boston,dorchester,kenmore,freeport,frontage,almont
8,east_boston,bcs,populated,densely,jamaica_plain,dorchester
9,back_bay,kenmore,workday,scollay,allston,freeport
10,jamaica_plain,dorchester,mattapan,hyde_park,eire,roslindale
11,south_end,dorchester,roxbury,uphams,back_bay,neighborhood
12,charlestown,greenwood,almont,brighton,dorchester,brockton
13,brighton,allston,vernon,almont,atherton,kenmore
14,allston,brighton,renovated,kenmore,almont,readville
15,west_end,laundromat,mortuary,clarendon,almont,1914
16,roslindale,hyde_park,benzy,mattapan,jamaica_plain,almont
17,north_end,kenmore,tenement,container,park’s,clarendon
18,mission_hill,rectory,hurley,unharmed,chaplain,kenmore
19,harbor_islands,rowes,369,prowling,inaugurates,npeter
20,longwood_medical_area,pasteur,cradle,kenmore,freeport,mile”
21,pasteur,cradle,longwood_medical_area,intellect,masqueraders,commons
22,cradle,pasteur,intellect,resounds,longwood_medical_area,commons
23,kenmore,freeport,scollay,1729,almont,triangle
24,freeport,rezone,kenmore,rezones,656,zoned
25,mile”,“methadone,1729,thoroughfares,374,architecturally
