,word0,word1,word2,word3,word4,word5
0,dorchester,mattapan,roxbury,chinatown,hyde,jamaica
1,roxbury,chinatown,dorchester,newtowne,west,restriction
2,mattapan,hyde,dorchester,ncampbell,groveland,precincts
3,hyde,park,mattapan,hennigan,forry’s,devine
4,fenway,1927,gymnastics,eastie,harambee,outfield
5,beacon,hill,wharf,savin,starr,town’s
6,hill,beacon,bunker,savin,mission,officialdom
7,downtown,crossing’s,eyesore,waterway,renovated,taller
8,south,carolina,end,north,east,safiro
9,boston,nboston,chelsea,academies,bay’s,mckay
10,east,blackstone,hennigan,jeffries,squantum,codman
11,bay,1850s,buzzards,attractions,cove,glassy
12,jamaica,plain,chinatown,hennigan,charlestown,restriction
13,plain,jamaica,chinatown,ncampbell,restriction,dorchester
14,end,south,“space,clapboards,resisters,officialdom
15,charlestown,chinatown,restriction,jeffries,jamaica,heath
16,brighton,allston,chinatown,hennigan,restriction,codman
17,allston,brighton,officialdom,dorchester’s,readville,restriction
18,west,roxbury,centre,angelo,selden,lateral
19,roslindale,ncampbell,hyde,barbershop,matos,walgreens
20,north,attleborough,carolina,westwood,athlete’s,standish
21,end,south,“space,clapboards,resisters,officialdom
22,mission,hill,brighton,allston,bunker,restriction
23,waterfront,waterway,blighted,thoroughfare,cusp,renovated
24,harbor,sewage,discoloring,beaches,outfall,waterway
25,islands,nahant,bohemian,maritime,await,etosha
26,longwood,shortening,boardwalk,mirebalais,roadwork,packard’s
27,shortening,realigning,fivefold,decaying,lynnway,chiofaro’s
28,boardwalk,markings,realigning,arborway,lynnway,1a
29,mirebalais,$190,renovates,healthnet,evergrande,docent
30,roadwork,meetinghouse,realigning,frontage,arborway,appleton
31,packard’s,ninitially,realigning,underpass,selma’s,forsyth
