,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,mattapan,charlestown,roslindale,west_roxbury
1,roxbury,mattapan,dorchester,charlestown,jamaica_plain,codman
2,mattapan,roxbury,south_end,dorchester,bowdoin,roslindale
3,hyde_park,jamaica_plain,west_roxbury,charlestown,roslindale,paternal
4,fenway,kenmore,stitch,codman,corridor,newmarket
5,beacon_hill,strongholds,handicapped,establishment,ramps,cede
6,downtown,newmarket,revitalization,condominium,seaport,mecca
7,south_boston,south_end,southie,waterfront,jamaica_plain,charlestown
8,east_boston,ciommo,jamaica_plain,lamattina,charlestown,enclave
9,back_bay,brownstone,fashionable,vendome,samuels,prudential
10,jamaica_plain,charlestown,mildred,mattapan,east_boston,weston
11,south_end,mattapan,chinatown,melnea,roslindale,newmarket
12,charlestown,jamaica_plain,neponset,dorchester,mildred,brewster
13,brighton,allston,mission_hill,jamaica_plain,$115,ciommo
14,allston,brighton,cass,melnea,alpha,decie
15,west_end,tavern,thorpe,westwood,hibernian,manor
16,roslindale,milton,mattapan,south_end,dorchester’s,dorchester
17,north_end,manor,diner,buzzing,bros,chinatown
18,mission_hill,brighton,allston,south_end,jamaica_plain,roxbury
19,harbor_islands,728,661,233,161,garmin
20,longwood_medical_area,ruggles,1789,haymarket,rowhouse,cheney
21,ruggles,quincefield,porter,longwood_medical_area,625,richmond
22,1789,sixteen,valentine,eustis,refurbished,longwood_medical_area
23,haymarket,blocklong,weinzapfel,zoned,leers,kneeland
24,rowhouse,av,dorset,howell,augusta,exeter
25,cheney,124,encampment,zoned,alewife,kneeland
