,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,longwood_medical_area,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,76.77836566725455,86.41881638846738,83.76230128690386,87.87025258949663,71.95385724585437,82.00075786282683,86.48785425101214,79.70972423802611,86.96461824953445,79.41026944585663,89.40092165898618,81.74603174603176,72.05521472392637,90.09126466753584,84.901185770751,90.9090909090909,99.99999999999999,83.61804643013579,84.79477062599376,83.82128231770675,87.40849194729135,79.76208631996342
black,3.115814226925338,5.336368234699039,3.292959878879637,2.453207341450118,2.3071377072819033,4.168245547555892,3.6437246963562755,3.2220609579100143,2.2346368715083798,3.507880020335536,3.2258064516129035,7.142857142857142,15.030674846625768,2.607561929595828,3.4782608695652173,3.0303030303030303,0.0,2.4967148488830486,3.42147105588599,4.755210561701608,1.8667642752562226,3.3551929235931066
api,10.523221634332748,6.373292867981791,9.34897804693414,7.723060149009631,9.913482335976926,12.163698370594922,6.0728744939271255,9.492017416545718,6.331471135940409,15.149974580579562,5.069124423963134,7.936507936507936,7.0552147239263805,5.736636245110821,5.059288537549407,3.0303030303030303,0.0,8.716600963644328,6.922442730110124,7.456756921948537,6.625183016105417,11.666920847948756
hispanic,9.58259847148736,1.8715225088517955,3.5957607872823623,1.9534799200436124,15.825522710886805,1.6672982190223569,3.7955465587044532,7.5761973875181425,4.4692737430167595,1.9318759532282663,2.3041474654377883,3.1746031746031744,5.858895705521473,1.564537157757497,6.561264822134387,3.0303030303030303,0.0,5.168637757336837,4.861315588010129,3.9667501986431146,4.099560761346998,5.215799908494739
