,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,85.53134127162434,84.14141414141413,79.72689075630252,85.61771561771563,88.26768318509107,80.60315284441398,74.39577039274924,89.50173194777511,83.21995464852607,80.16172506738545,89.92805755395683,86.53846153846155,77.9822767552829,87.84773060029285,82.1482602118003,88.0,90.07959067652075,83.88781845429244,87.71469896944494,85.91954022988507,86.4879649890591
black,1.932150078634015,5.353535353535354,3.9390756302521006,2.331002331002331,2.7107157983905124,5.140507196710076,2.7945619335347436,1.8385291766586729,3.968253968253968,3.8274932614555257,4.316546762589929,6.730769230769231,11.451942740286299,3.074670571010249,4.084720121028744,4.0,2.472996020466174,3.9477627916934273,3.9414210811788104,2.1839080459770113,2.024070021881838
api,10.267355650415636,8.838383838383837,10.084033613445378,9.51048951048951,7.115628970775095,10.418094585332419,6.495468277945619,4.396482813749001,9.693877551020408,11.698113207547172,5.755395683453238,3.8461538461538463,8.861622358554873,8.49194729136164,2.8744326777609683,4.0,5.57134735645253,7.976878612716763,5.134695353462304,5.402298850574713,7.166301969365427
hispanic,2.269152999325994,1.6666666666666667,6.25,2.5407925407925407,1.9059720457433291,3.838245373543523,16.314199395770395,4.263256061817213,3.1179138321995463,4.31266846361186,0.0,2.8846153846153846,1.7041581458759374,0.5856515373352855,10.892586989409985,4.0,1.8760659465605456,4.187540141297367,3.2091845959139396,6.494252873563218,4.321663019693654
