,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,55.37383177570094,86.94074969770256,83.90532544378699,93.15981931598195,80.71065989847715,81.02094240837695,74.68284611141752,89.40809968847353,90.78947368421053,86.73469387755101,92.7536231884058,76.00000000000001,66.27218934911242,84.9397590361446,81.48148148148147,85.71428571428571,83.49114862083162,85.68443051201673,84.09090909090911,82.88621646623497,75.94202898550725
black,1.8357810413885178,1.6928657799274487,5.0295857988165675,1.3336201333620132,3.118201595358956,8.24607329842932,6.508549365692223,1.9314641744548284,1.3157894736842104,4.421768707482993,1.4492753623188406,5.333333333333334,10.312764158918005,3.0120481927710845,5.761316872427984,0.0,5.557842733635241,2.70935960591133,3.232636928289102,3.9777983348751156,4.855072463768116
api,7.843791722296395,9.552599758162032,7.633136094674557,3.6136803613680364,8.049311094996375,7.460732984293193,7.777164920022063,4.236760124610592,7.456140350877193,7.142857142857142,4.7101449275362315,16.0,9.636517328825022,8.433734939759036,5.349794238683128,14.285714285714285,8.68670234664471,7.344379758172862,10.093167701863354,9.805735430157263,6.884057971014492
hispanic,34.946595460614155,1.8137847642079807,3.4319526627218933,1.892880189288019,8.121827411167512,3.2722513089005236,11.031439602868174,4.423676012461059,0.43859649122807015,1.7006802721088436,1.0869565217391304,2.666666666666667,13.778529163144547,3.614457831325301,7.4074074074074066,0.0,2.2643062988884313,4.261830123899089,2.583286278938453,3.330249768732655,12.318840579710146
