,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,longwood_medical_area,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,73.43205574912892,86.57587548638132,83.17307692307692,88.07531380753139,69.65217391304348,87.64568764568764,87.47894441325099,79.02648532569792,88.11659192825111,78.81548974943054,90.90909090909092,77.92207792207793,71.26741871267419,90.09126466753585,87.70642201834862,90.9090909090909,99.99999999999999,80.75370121130553,84.83942722090922,84.25855513307984,86.42578125,79.42122186495176
black,3.1358885017421603,4.734111543450065,3.75,2.531380753138075,2.3478260869565215,3.263403263403263,3.3688938798427848,3.29277022190408,2.0179372197309418,2.8473804100227795,3.20855614973262,9.090909090909092,16.124751161247513,2.607561929595828,4.036697247706423,3.0303030303030303,0.0,2.8263795423956934,3.2045043792576116,4.623574144486692,2.24609375,3.6798856734548053
api,10.104529616724738,6.420233463035019,10.0,7.468619246861925,10.26086956521739,7.575757575757576,5.502526670409883,9.162491052254833,6.053811659192825,16.40091116173121,5.347593582887701,12.987012987012985,6.768414067684141,5.736636245110821,5.137614678899082,3.0303030303030303,0.0,10.363391655450876,6.826080911997777,7.02661596958175,6.73828125,11.86137906395141
hispanic,13.32752613240418,2.2697795071335927,3.076923076923077,1.9246861924686192,17.739130434782606,1.5151515151515151,3.64963503649635,8.518253400143164,3.811659192825112,1.9362186788154898,0.53475935828877,0.0,5.839416058394161,1.564537157757497,3.1192660550458715,3.0303030303030303,0.0,6.056527590847914,5.129987487835395,4.091254752851711,4.58984375,5.037513397642015
