,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,90.56391822062459,84.69696969696969,82.77310924369748,84.94172494172494,88.35239305379076,78.88965044551063,72.99848942598187,68.79829469757527,88.09523809523809,84.36657681940702,92.80575539568345,92.3076923076923,86.43490115882754,86.53001464128843,56.732223903177,96.0,87.29391699829449,85.54913294797689,77.21026939070693,82.29885057471265,75.21881838074398
api,6.223320602111885,11.565656565656566,5.934873949579831,9.79020979020979,6.141465480728505,11.583276216586704,7.288519637462236,6.501465494271249,4.591836734693878,8.571428571428571,2.877697841726619,7.6923076923076925,12.133605998636673,5.27086383601757,7.866868381240545,4.0,5.57134735645253,7.180475272960822,7.430844331947206,7.528735632183908,7.494529540481401
hispanic,2.9206919793304875,3.2828282828282833,10.714285714285714,3.7995337995337994,4.235493434985176,4.249485949280329,18.693353474320244,22.728483879563015,6.972789115646258,5.876010781671159,0.0,0.0,1.2269938650306749,4.831625183016105,35.09833585476551,0.0,3.2973280272882324,5.964461571397988,3.8691014283131437,7.931034482758621,10.557986870897155
black,0.29206919793304875,0.45454545454545453,0.5777310924369748,1.4685314685314685,1.2706480304955527,5.2775873886223446,1.0196374622356497,1.971755928590461,0.3401360544217687,1.1859838274932615,4.316546762589928,0.0,0.2044989775051125,3.3674963396778916,0.30257186081694404,0.0,3.8374076179647525,1.3059302076643118,11.489784849032725,2.2413793103448274,6.728665207877461
