,term,weight
0,zones,0.00025619243262231506
1,zehngebot,0.006302017895417893
2,youths,0.00027249456179830056
3,youth,3.606294474910557e-05
4,young,0.00012910457492749252
5,yet,2.293988521266097e-05
6,yesterday,0.00025619243262231506
7,yes,0.0006239832215155385
8,yellow,0.00012649849466287442
9,years,6.88196556379829e-05
10,year,0.00012616936866963532
11,wrote,0.00018778847262180732
12,written,0.00019719286467574168
13,wrapped,0.0001678719045648689
14,would,0.00017204913909495728
15,worse,7.212588949821114e-05
16,workers,9.389423631090366e-05
17,work,0.0001643149135440814
18,wore,9.487387099715581e-05
19,words,0.00019719286467574168
20,wooden,0.00024210286120318158
21,wonder,9.364094792655618e-05
22,women,7.042067723317775e-05
23,woman,4.587977042532194e-05
24,witnesses,0.00022058780277483663
25,witness,3.8998951344721156e-05
26,without,1.1469942606330485e-05
27,wiped,0.0004087418426974508
28,winter,7.212588949821114e-05
29,wins,0.00024210286120318158
30,window,3.606294474910557e-05
31,win,5.409441712365835e-05
32,williams,0.0009487387099715582
33,wife,2.293988521266097e-05
34,widett,0.0007612942259122994
35,whole,8.21574567720407e-05
36,whether,7.212588949821114e-05
37,wheelchair,0.0002809228437796685
38,west,0.00041078728386020354
39,wesson,0.0004604247452743529
40,went,0.00010563101584976661
41,well,4.694711815545183e-05
42,weeks,2.3473559077725915e-05
43,weekend,0.0001081888342473167
44,week,2.3473559077725915e-05
45,wealthy,0.00044117560554967326
46,way,5.734971303165243e-05
47,waved,0.0002854853347171123
48,wave,4.929821616893542e-05
49,watching,9.015736187276393e-05
50,watcher,0.0012604035790835786
51,watch,1.1736779538862957e-05
52,wary,0.00037949548398862325
53,warm,9.859643233787084e-05
54,war,2.3473559077725915e-05
55,wanted,0.00014425177899642227
56,want,3.440982781899145e-05
57,walsh,0.00023473559077725917
58,wall,2.3473559077725915e-05
59,walked,7.212588949821114e-05
60,waiting,3.606294474910557e-05
61,wait,4.929821616893542e-05
62,vrabel,0.004204633058466862
63,voice,4.929821616893542e-05
64,violence,0.00015812311832859302
65,victim,3.606294474910557e-05
66,vibrant,0.00037456379170622473
67,vibrancy,0.0009026963513400899
68,veteran,7.212588949821114e-05
69,versus,0.0006714876182594756
70,verdict,0.0002854853347171123
71,vast,0.00018728189585311237
72,van,4.929821616893542e-05
73,usoc,0.0019368228896254527
74,useful,0.00029443677381892037
75,used,2.293988521266097e-05
76,use,2.293988521266097e-05
77,us,0.0
78,urgency,0.00014721838690946019
79,urged,3.606294474910557e-05
80,urban,0.0003670381634025755
81,upon,0.00018974774199431163
82,unwieldy,0.0010511582646167154
83,unsuspecting,0.0010511582646167154
84,understand,9.389423631090366e-05
85,underestimated,0.004204633058466862
86,uncles,0.00027249456179830056
87,type,4.929821616893542e-05
88,tybie,0.0012604035790835786
89,two,0.0
90,twitter,0.00012649849466287442
91,twenty,0.0
92,turned,8.21574567720407e-05
93,turn,9.389423631090366e-05
94,try,3.5210338616588874e-05
95,true,0.00039438572935148337
96,troubled,0.00011029390138741832
97,trial,3.1624623665718604e-05
98,trap,0.0003937701724925943
99,tragic,0.00011029390138741832
100,tragedy,0.00018728189585311237
101,track,7.212588949821114e-05
102,traces,0.0012277993207316078
103,towers,0.00044117560554967326
104,toward,2.293988521266097e-05
105,top,4.587977042532194e-05
106,tools,0.00046798741613665384
107,took,9.389423631090366e-05
108,tom,9.859643233787084e-05
109,told,5.868389769431479e-05
110,together,0.00018778847262180732
111,titles,0.00025619243262231506
112,times,9.389423631090366e-05
113,time,0.00018351908170128776
114,tight,0.00011029390138741832
115,ti,0.0006302017895417893
116,throwing,0.00018728189585311237
117,throughout,3.606294474910557e-05
118,three,9.749451215380913e-05
119,thousand,0.0
120,thought,3.606294474910557e-05
121,though,4.694711815545183e-05
122,thirty,2.293988521266097e-05
123,thing,0.00011736779538862958
124,thank,6.324924733143721e-05
125,ten,5.734971303165243e-05
126,temple,0.00024210286120318158
127,tells,0.00012649849466287442
128,telling,0.00018974774199431163
129,teased,0.0003937701724925943
130,tears,0.00011699685403416346
131,tearing,0.0012277993207316078
132,teach,9.364094792655618e-05
133,taxpayers,0.0005123848652446301
134,tax,0.00037456379170622473
135,taurus,0.0003937701724925943
136,taught,9.487387099715581e-05
137,tank,0.00011029390138741832
138,tall,7.799790268944231e-05
139,talks,0.00011029390138741832
140,talking,2.3473559077725915e-05
141,talked,3.606294474910557e-05
142,taking,4.694711815545183e-05
143,taken,2.3473559077725915e-05
144,take,2.293988521266097e-05
145,tablet,0.00027249456179830056
146,synagogue,0.00030694983018290196
147,sweater,0.0003467255184366133
148,swampscott,0.0001678719045648689
149,suspicious,0.00010745827931042497
150,sushi,0.0003937701724925943
151,surrounded,6.324924733143721e-05
152,sure,4.587977042532194e-05
153,supposedly,0.0005449891235966011
