,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,58.51239669421487,96.61016949152543,87.85425101214574,89.96153846153845,68.05194805194805,96.15384615384616,88.51992409867174,77.83505154639175,93.66515837104072,86.45833333333334,92.60450160771704,83.62068965517241,83.4983498349835,81.66666666666667,91.22807017543859,36.36363636363637,92.71991911021233,85.60070671378092,89.15929203539822,89.46731234866829,78.31603229527106
hispanic,34.87603305785124,2.3728813559322033,9.79757085020243,6.230769230769231,29.22077922077922,2.2496371552975325,8.633776091081593,14.845360824742269,5.88235294117647,10.76388888888889,4.180064308681672,4.310344827586207,12.541254125412541,11.11111111111111,4.678362573099415,63.63636363636363,3.336703741152679,10.848056537102474,4.744346116027532,6.658595641646489,18.800461361014996
black,6.115702479338843,0.11299435028248588,1.6194331983805668,1.5,0.7792207792207793,0.07256894049346879,1.4231499051233396,1.443298969072165,0.0,2.7777777777777777,0.964630225080386,3.4482758620689653,1.65016501650165,5.0,1.949317738791423,0.0,1.1122345803842264,1.9434628975265018,2.5319567354965584,1.331719128329298,2.1145713187235677
asian,0.49586776859504134,0.903954802259887,0.728744939271255,2.307692307692308,1.948051948051948,1.5239477503628447,1.4231499051233396,5.876288659793814,0.4524886877828055,0.0,2.2508038585209005,8.620689655172415,2.31023102310231,2.2222222222222223,2.144249512670565,0.0,2.8311425682507583,1.6077738515901059,3.5644051130776795,2.5423728813559325,0.7689350249903883
