,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,86.90181981577174,92.97979797979798,86.60714285714286,89.37062937062937,91.74078780177891,87.73132282385195,77.90785498489427,71.22302158273382,88.15192743764172,87.22371967654986,91.36690647482014,98.07692307692307,91.20654396728017,79.94143484626647,62.32980332829047,100.0,93.43376918703808,87.51016912866623,81.94720665340807,86.66666666666667,80.96280087527352
hispanic,8.91934396764772,0.8080808080808081,0.8928571428571428,2.634032634032634,1.9059720457433291,2.467443454420836,2.719033232628399,3.3306687982946976,2.947845804988662,3.018867924528302,4.316546762589928,0.0,1.0224948875255624,12.88433382137628,0.30257186081694404,0.0,1.6770892552586698,3.1171055448512095,13.116977038510216,4.3678160919540225,7.822757111597374
black,3.122893731745675,3.686868686868687,10.451680672268909,5.128205128205128,4.362558238034731,4.797806716929403,18.240181268882175,25.20650146549427,7.596371882086168,5.768194070080863,4.316546762589928,1.9230769230769231,2.658486707566462,5.710102489019034,36.30862329803328,0.0,2.7003979533826037,7.818454292442732,3.1549448562646902,7.586206896551724,10.50328227571116
asian,1.0559424848348686,2.525252525252525,2.0483193277310923,2.867132867132867,1.9906819144430326,5.003427004797807,1.1329305135951662,0.2398081534772182,1.3038548752834467,3.98921832884097,0.0,0.0,5.112474437627812,1.4641288433382138,1.059001512859304,0.0,2.1887436043206367,1.5542710340398203,1.7808714518170312,1.3793103448275863,0.7111597374179431
