,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,longwood_medical_area,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,82.1575543797766,94.76479514415782,90.6888720666162,89.55115391604579,81.21845710165826,91.3982569154983,84.7672064777328,76.66182873730043,90.87523277467412,86.68022369089985,92.16589861751152,86.5079365079365,86.96319018404908,95.30638852672752,75.65217391304347,100.0,100.0,88.04204993429697,82.14769448206819,87.26850437014852,89.23865300146413,85.49641604392252
hispanic,11.258083480305704,2.731411229135053,5.715367146101438,6.432854806469199,16.149963950973323,4.47139067828723,7.616396761133604,20.522496371552975,5.027932960893855,3.253685815963396,4.6082949308755765,1.5873015873015872,8.190184049079754,2.4771838331160363,19.76284584980237,0.0,0.0,7.271134472185721,12.85554443201225,7.328402909357619,5.563689604685212,7.411926185755681
black,4.174015285126396,1.3657056145675266,1.0219530658591975,2.6258404506632744,1.0814708002883922,2.804092459264873,5.212550607287449,1.0159651669085632,2.97951582867784,0.20335536349771224,0.9216589861751152,10.714285714285714,1.9325153374233128,1.955671447196871,1.5810276679841897,0.0,0.0,1.445466491458607,2.5999646663918496,3.4227736690911317,3.6969253294289897,2.3486350465151746
asian,2.410346854791299,1.1380880121396053,2.5738077214231643,1.3901508268217335,1.5501081470800289,1.3262599469496021,2.403846153846154,1.7997097242380262,1.1173184357541899,9.862735129639045,2.3041474654377883,1.1904761904761905,2.9141104294478524,0.2607561929595828,3.0039525691699605,0.0,0.0,3.2413491020586944,2.3967964195277074,1.980319051402726,1.500732064421669,4.743022723806619
