,0
Dorchester,2575
Roxbury,1443
Fenway,884
South Boston,692
Downtown,660
Mattapan,601
South End,467
East Boston,372
West Roxbury,344
Jamaica Plain,320
Roslindale,296
Brighton,277
Charlestown,271
Hyde Park,261
Back Bay,231
North End,166
Mission Hill,160
Allston,153
Beacon Hill,149
West End,56
Harbor Islands,22
Longwood Medical Area,19
South Boston Waterfront,0
