,0
Dorchester,1873
Roxbury,1288
South Boston,485
Mattapan,417
East Boston,372
West Roxbury,372
South End,329
Downtown,299
Jamaica Plain,262
Roslindale,245
Fenway,229
Beacon Hill,169
Hyde Park,159
Charlestown,122
Back Bay,119
Brighton,119
Allston,77
North End,74
Mission Hill,64
West End,46
Longwood Medical Area,11
Harbor Islands,5
South Boston Waterfront,0
