,0
Dorchester,1788
Roxbury,1147
South Boston,564
Mattapan,497
Downtown,344
South End,304
Jamaica Plain,288
Hyde Park,280
Fenway,253
Roslindale,244
East Boston,243
West Roxbury,207
Back Bay,189
Charlestown,154
Brighton,151
Beacon Hill,143
Allston,136
Mission Hill,98
North End,71
West End,21
Longwood Medical Area,10
Harbor Islands,5
South Boston Waterfront,0
