,0
Dorchester,4397
Roxbury,2750
South Boston,1367
Mattapan,1273
Downtown,871
South End,703
Hyde Park,701
Jamaica Plain,660
Fenway,638
East Boston,617
Roslindale,611
West Roxbury,513
Back Bay,485
Charlestown,380
Brighton,366
Beacon Hill,347
Allston,336
Mission Hill,230
North End,170
West End,53
Longwood Medical Area,23
Harbor Islands,10
South Boston Waterfront,0
