,0
Dorchester,1137
Roxbury,650
South Boston,313
Hyde Park,291
Mattapan,272
Downtown,253
West Roxbury,189
Back Bay,171
Jamaica Plain,157
Mission Hill,152
South End,151
Beacon Hill,150
Brighton,142
Roslindale,137
Fenway,126
Allston,123
East Boston,100
Charlestown,86
North End,40
West End,26
Longwood Medical Area,5
Harbor Islands,4
South Boston Waterfront,0
