,word0,word1,word2,word3,word4,word5
0,dorchester,jamaica_plain,hyde_park,roxbury,mattapan,south_boston
1,roxbury,chinatown,dorchester,jamaica_plain,bromley,newtowne
2,mattapan,jamaica_plain,hyde_park,dorchester,chinatown,groveland
3,hyde_park,jamaica_plain,roslindale,dorchester,mattapan,ncampbell
4,fenway,1927,sportsmen’s,outfield,fighters,park
5,beacon_hill,billionaires,bylaws,erect,chinatown,chan
6,downtown,crossing’s,taller,eyesore,newmarket,crossing
7,south_boston,dorchester,charlestown,banker,north_end,jamaica_plain
8,east_boston,jamaica_plain,mckay,bromley,castle,hammond
9,back_bay,1850s,west_end,glassy,attractions,renovated
10,jamaica_plain,hyde_park,mattapan,dorchester,chinatown,roxbury
11,south_end,chinatown,encompasses,mission_hill,jamaica_plain,separated
12,charlestown,chinatown,mission_hill,jamaica_plain,orient,jeffries
13,brighton,allston,chinatown,mission_hill,blackstone,hennigan
14,allston,brighton,mission_hill,longwood_medical_area,officialdom,heath
15,west_end,blighted,revitalization,quaint,fallow,blight
16,roslindale,hyde_park,jamaica_plain,ncampbell,cvs,walgreens
17,north_end,castle,waterfront,bordered,cummins,chinatown
18,mission_hill,allston,longwood_medical_area,brighton,egleston,bromley
19,harbor_islands,tonier,cleanest,lilacs,coast”,cod’s
20,longwood_medical_area,dasco,roadwork,undeveloped,demolish,fallow
21,dasco,dotblock,amory,meetinghouse,leasable,undeveloped
22,roadwork,meetinghouse,frontage,streetscapes,ferries,packard’s
23,undeveloped,quarry’s,rezone,dotblock,dasco,boulevard”
24,demolish,undeveloped,rezone,dasco,relocate,olmsted’s
25,fallow,dotblock,crossing’s,blight,kleckner,leasable
