,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,mattapan,neponset,charlestown,freeport
1,roxbury,mattapan,dorchester,jamaica_plain,charlestown,east_boston
2,mattapan,roxbury,bowdoin,roslindale,charlestown,dorchester
3,hyde_park,jamaica_plain,west_roxbury,roslindale,readville,southernmost
4,fenway,kenmore,codman,corridor,stitch,yawkey
5,beacon_hill,establishment,strongholds,vaunted,delegates,handicapped
6,downtown,newmarket,condominium,revitalization,crossing,mecca
7,south_boston,waterfront,chinatown,south_end,charlestown,roxbury
8,east_boston,jamaica_plain,charlestown,lamattina,chinatown,ciommo
9,back_bay,brownstone,beacon,fashionable,vendome,298
10,jamaica_plain,charlestown,mildred,east_boston,aquinas,roxbury
11,south_end,chinatown,edinboro,longwood_medical_area,melnea,warehouses
12,charlestown,jamaica_plain,mattapan,mildred,chicopee,arlington
13,brighton,allston,mission_hill,$115,melnea,ciommo
14,allston,brighton,decie,melnea,alpha,cass
15,west_end,rehearsal,terrace,tavern,thorpe,artists’
16,roslindale,mattapan,neponset,dorchester’s,grove,deli
17,north_end,canton,manor,invade,eddy,seaside
18,mission_hill,brighton,allston,lamattina,jamaica_plain,south_end
19,harbor_islands,aquatic,161,forage,204,bookcases
20,longwood_medical_area,romsey,ruggles,edinboro,rowhouse,blocklong
21,romsey,cummins,longwood_medical_area,terrace,n’s,humphreys
22,ruggles,quincefield,625,arborway,longwood_medical_area,square•
23,edinboro,longwood_medical_area,montello,aguadilla,romsey,thoroughfare
24,rowhouse,1000,westville,bromfield,av,trumbull
25,blocklong,carruth,associates’,alewife,kneeland,haymarket
