,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,intervale,yanuel,bragdon,landrum
1,roxbury,dorchester,hyde_park,mission_hill,sprawls,mattapan
2,mattapan,dorchester,roxbury,hyde_park,roslindale,trolley
3,hyde_park,roxbury,mission_hill,mattapan,dorchester,hennigan
4,fenway,filtering,1321,park,orioles,461
5,beacon_hill,solons,retinue,bigwigs,michlewitz,nstadig
6,downtown,crossing’s,janetha,booms,project—,intimations
7,south_boston,nstadig,sprawls,langone,dinopoulos,redgate
8,east_boston,nstadig,xa0neighborhoods,councilor’s,langone,snaking
9,back_bay,nstadig,tricolor,charlestown,consulate,parishioners—
10,jamaica_plain,roslindale,nehar,hennigan,roxbury,mission_hill
11,south_end,sprawls,roxbury,tenements,”voters,mission_hill
12,charlestown,east_boston,winship,roxbury,sprawls,xa0harrison
13,brighton,allston,winship,hills,hennigan,—a
14,allston,brighton,—a,staniford,nstadig,cluster
15,west_end,flattening,renewal,bulldozers,superhighways,dorchester’s
16,roslindale,jamaica_plain,mattapan,higginson,unluckily,mission_hill
17,north_end,langone,passacantilli,east_boston,nstadig,sprawls
18,mission_hill,hyde_park,roxbury,hennigan,bromley,sprawls
19,harbor_islands,camping,peddocks,surges,cutty’s,“low
20,longwood_medical_area,longwood,lma’s,janetha,offstreet,multiuse
21,longwood,shriners,longwood_medical_area,offstreet,areas”,lma’s
22,lma’s,connectors,brt,offstreet,smallbusiness,ncreate
23,janetha,busby,offstreet,limitedstop,termini,kelton
24,offstreet,ncreate,tontine,termini,limitedstop,lma’s
25,multiuse,sw,kelton,lma,offstreet,neighborways
