,0
dorchester,"[('jamaica_plain', 0.92098069190979)]"
roxbury,"[('jamaica_plain', 0.901740312576294)]"
mattapan,"[('jamaica_plain', 0.9222100377082825)]"
hyde_park,"[('jamaica_plain', 0.9197255373001099)]"
fenway,"[('1927', 0.8989218473434448)]"
beacon_hill,"[('beacon_hill', 0.8812240362167358)]"
downtown,"[('crossing’s', 0.9066404700279236)]"
south_boston,"[('south_boston', 0.8941617608070374)]"
east_boston,"[('east_boston', 0.8790847659111023)]"
back_bay,"[('1850s', 0.9041256308555603)]"
jamaica_plain,"[('jamaica_plain', 0.9222100377082825)]"
south_end,"[('chinatown', 0.888102114200592)]"
charlestown,"[('charlestown', 0.893186628818512)]"
brighton,"[('brighton', 0.9193648099899292)]"
allston,"[('allston', 0.9250001907348633)]"
west_end,"[('west_end', 0.9357385635375977)]"
roslindale,"[('hyde_park', 0.9142744541168213)]"
north_end,"[('waterfront', 0.8906437754631042)]"
mission_hill,"[('mission_hill', 0.9112808108329773)]"
harbor_islands,"[('cleanest', 0.9701629281044006)]"
longwood_medical_area,"[('dasco', 0.9619471430778503)]"
