,0
dorchester,"[('mattapan', 0.9075316190719604)]"
roxbury,"[('mattapan', 0.9068011045455933)]"
mattapan,"[('mattapan', 0.9303613901138306)]"
hyde_park,"[('hyde_park', 0.8997166156768799)]"
fenway,"[('kenmore', 0.9244210124015808)]"
beacon_hill,"[('strongholds', 0.9168854355812073)]"
downtown,"[('newmarket', 0.9403566122055054)]"
south_boston,"[('chinatown', 0.9028759002685547)]"
east_boston,"[('charlestown', 0.90053790807724)]"
back_bay,"[('brownstone', 0.9338219165802002)]"
jamaica_plain,"[('jamaica_plain', 0.9119647145271301)]"
south_end,"[('edinboro', 0.9315729737281799)]"
charlestown,"[('charlestown', 0.9135571122169495)]"
brighton,"[('allston', 0.9291462302207947)]"
allston,"[('allston', 0.9401447176933289)]"
west_end,"[('terrace', 0.9463684558868408)]"
roslindale,"[('grove', 0.9039623737335205)]"
north_end,"[('manor', 0.9283358454704285)]"
mission_hill,"[('brighton', 0.9142497181892395)]"
harbor_islands,"[('161', 0.9820154309272766)]"
longwood_medical_area,"[('longwood_medical_area', 0.9728633761405945)]"
