,0
dorchester,"[('dorchester', 0.9198631644248962)]"
roxbury,"[('roxbury', 0.8983335494995117)]"
mattapan,"[('mattapan', 0.9039361476898193)]"
hyde_park,"[('hyde_park', 0.917883038520813)]"
fenway,"[('fenway', 0.9177852869033813)]"
beacon_hill,"[('beacon_hill', 0.8846777677536011)]"
downtown,"[('downtown', 0.8933349847793579)]"
south_boston,"[('dorchester', 0.889655351638794)]"
east_boston,"[('east_boston', 0.8735314607620239)]"
back_bay,"[('kenmore', 0.9244980216026306)]"
jamaica_plain,"[('jamaica_plain', 0.8794072270393372)]"
south_end,"[('kenmore', 0.9143285155296326)]"
charlestown,"[('charlestown', 0.883381187915802)]"
brighton,"[('kenmore', 0.9146577715873718)]"
allston,"[('allston', 0.9132044315338135)]"
west_end,"[('clarendon', 0.9137778282165527)]"
roslindale,"[('astoria', 0.8870210647583008)]"
north_end,"[('kenmore', 0.9142197966575623)]"
mission_hill,"[('mission_hill', 0.9046424031257629)]"
harbor_islands,"[('harbor_islands', 0.9526399970054626)]"
longwood_medical_area,"[('longwood_medical_area', 0.9545482397079468)]"
