,term,weight
0,zone,5.104924449652681e-05
1,zero,6.09470933993745e-05
2,zahir,8.371656390516228e-05
3,zack,6.981839745187633e-05
4,yvonne,8.155097462629989e-05
5,yusef,0.00016743312781032456
6,younger,3.9292912201832295e-05
7,young,0.00016838541246004136
8,york,0.0001293471050980079
9,yogurt,6.432231703523208e-05
10,yet,7.185950283222661e-05
11,yesterday,5.709941200624556e-05
12,yes,7.463607877343562e-05
13,yemen,0.00032620389850519956
14,years,0.00016455715217831118
15,year,0.00014017831481856136
16,yeah,9.648347555284811e-05
17,yards,5.104924449652681e-05
18,yard,5.860615819934732e-05
19,yanked,0.00010461755696819423
20,yancey,0.00032241527479631395
21,yacht,9.211864994180399e-05
22,xa0yesterday,6.981839745187633e-05
23,xa0wow,8.371656390516228e-05
24,xa0will,0.00010461755696819423
25,xa0where,6.981839745187633e-05
26,xa0wednesday,9.211864994180399e-05
27,xa0want,8.371656390516228e-05
28,xa0tonight,0.00010859525682964082
29,xa0tomorrow,7.239683788642721e-05
30,xa0today,5.9957491424187946e-05
31,xa0think,8.371656390516228e-05
32,xa0that,0.00014479367577285442
33,xa0speaking,6.981839745187633e-05
34,xa0some,6.981839745187633e-05
35,xa0out,8.371656390516228e-05
36,xa0offseason,8.371656390516228e-05
37,xa0of,7.239683788642721e-05
38,xa0now,6.981839745187633e-05
39,xa0morning,6.981839745187633e-05
40,xa0let,8.371656390516228e-05
41,xa0last,6.981839745187633e-05
42,xa0june,5.9957491424187946e-05
43,xa0involving,8.371656390516228e-05
44,xa0in,0.00014274853001561389
45,xa0i,5.9957491424187946e-05
46,xa0hope,6.981839745187633e-05
47,xa0he,5.9957491424187946e-05
48,xa0friday,0.00010461755696819423
49,xa0first,8.371656390516228e-05
50,xa0either,8.371656390516228e-05
51,xa0e,8.371656390516228e-05
52,xa0being,8.371656390516228e-05
53,xa0at,8.155097462629989e-05
54,xa0are,7.239683788642721e-05
55,xa0and,0.00010859525682964082
56,xa0after,5.230877848409711e-05
57,xa0,0.0002931153476156275
58,wu,0.0006432231703523206
59,wrote,0.0001293471050980079
60,wrongful,4.6059324970901995e-05
61,wrong,4.584173090213767e-05
62,written,3.9292912201832295e-05
63,writing,1.465153954983683e-05
64,writer,4.144524191032202e-05
65,write,2.930307909967366e-05
66,wright,0.008434231613768769
67,wrapping,0.00010461755696819423
68,wrapped,2.2300252489927657e-05
69,wpri,5.230877848409711e-05
70,wounds,2.2300252489927657e-05
71,wounded,0.00014274853001561389
72,would,0.0001828412801981235
73,worth,9.354745136668964e-06
74,worse,2.4878692924478543e-05
75,worry,5.8814602256491886e-05
76,worries,2.4878692924478543e-05
77,worried,3.3608344146566795e-05
78,worldwide,5.709941200624556e-05
79,world,2.894986936470289e-05
80,worksite,0.0002792735898075053
81,works,1.9162534088593766e-05
82,working,0.00016767217327519544
83,workers,0.00016804172073283397
84,worked,2.285516002476544e-05
85,work,5.332870672445269e-05
86,wore,1.2439346462239271e-05
87,words,0.00013469703620854658
88,word,3.3608344146566795e-05
89,worcester,9.325179429822454e-05
90,woodworking,0.00016743312781032456
91,woodwind,0.00013963679490375266
92,woods,3.9113241822692326e-05
93,wooden,3.403282966435121e-05
94,woo,0.00013817797491270597
95,wonderful,3.403282966435121e-05
96,wondered,3.6198418943213604e-05
97,wonder,2.072262095516101e-05
98,women,2.806423541000689e-05
99,woman,5.301022244112414e-05
100,woes,2.2300252489927657e-05
101,wnv,0.00025114969171548685
102,wmur,8.371656390516228e-05
103,witnesses,0.00013380151493956594
104,witness,0.0003568040398388425
105,without,0.0001485096391866017
106,within,4.311570169933597e-05
107,withdraw,3.216115851761604e-05
108,wished,6.432231703523208e-05
109,wish,3.9113241822692326e-05
110,wipro,8.371656390516228e-05
111,wiped,8.155097462629989e-05
112,winter,2.5206258109925095e-05
113,wins,3.9113241822692326e-05
114,winooski,0.00016743312781032456
115,winner,3.9113241822692326e-05
116,wine,0.0001465153954983683
117,windsor,4.6059324970901995e-05
118,windows,6.806565932870241e-05
119,window,2.5206258109925095e-05
120,wind,0.00010209848899305362
121,winchester,5.0565499631917403e-05
122,win,1.0361310477580506e-05
123,williams,0.00011195411816015343
124,william,5.612847082001378e-05
125,willful,0.00027635594982541195
126,wiley,6.432231703523208e-05
127,wildly,0.00012232646193944982
128,wilderness,5.230877848409711e-05
129,wild,4.9757385848957086e-05
130,wife,7.665013635437506e-05
131,widespread,7.58482494478761e-05
132,widely,2.930307909967366e-05
133,whose,1.5591241894448272e-05
134,wholly,0.00011991498284837589
135,whole,4.201043018320849e-05
136,white,3.4300732167786205e-05
137,whistle,5.230877848409711e-05
138,whisked,0.00013963679490375266
139,whether,3.199722403467162e-05
140,whenever,5.709941200624556e-05
141,wheel,2.5282749815958702e-05
142,wheaton,0.00013963679490375266
143,wheatley,6.981839745187633e-05
144,whatever,2.4878692924478543e-05
145,westtown,0.00016743312781032456
146,weston,5.709941200624556e-05
147,western,2.2300252489927657e-05
148,west,0.00010290219650335861
149,went,0.0001768181049082453
150,wellspring,0.00025114969171548685
151,well,7.483796109335172e-05
152,welcomed,1.9556620911346163e-05
153,welcome,6.216786286548303e-05
154,welch,0.00018423729988360798
155,weird,0.00017129823601873666
156,weight,3.403282966435121e-05
157,weighs,0.00010461755696819423
158,weighed,8.564911800936833e-05
159,weigh,9.648347555284811e-05
160,weeks,8.402086036641699e-06
161,weekly,5.866986273403849e-05
162,weeklong,5.230877848409711e-05
163,weekend,4.584173090213767e-05
164,week,0.00021078787497453143
165,weei,4.6059324970901995e-05
166,wednesday,6.860146433557241e-05
167,wedding,0.00038593390221139243
168,website,0.0003358623544804603
169,web,0.00011150126244963828
170,weather,4.7906335221484414e-06
171,wearing,9.951477169791417e-05
172,wbur,9.211864994180399e-05
173,ways,5.7487602265781294e-05
174,way,6.704180273931196e-05
175,waving,8.564911800936833e-05
176,waves,0.00012232646193944982
177,watson,0.00019296695110569622
178,waters,0.00015610176742949359
179,waterfront,5.104924449652681e-05
180,water,4.053722892556551e-05
181,watching,2.072262095516101e-05
182,watched,7.561877432977529e-05
183,watch,3.3608344146566795e-05
184,washington,0.00012603129054962546
185,washed,6.432231703523208e-05
186,wasa,6.981839745187633e-05
187,warwick,0.0004184702278727769
188,warrior,5.9957491424187946e-05
189,warren,0.00017581847459804197
190,warrant,2.5282749815958702e-05
191,warning,5.180655238790253e-05
192,warned,8.508207416087801e-05
193,warmth,3.6198418943213604e-05
194,warming,4.0775487313149945e-05
195,warm,3.3608344146566795e-05
196,wards,6.981839745187633e-05
197,war,0.00012472993515558618
198,wants,2.072262095516101e-05
199,wanted,9.354745136668963e-05
200,want,6.236496757779309e-05
201,walsh,7.483796109335172e-05
202,walls,2.072262095516101e-05
203,wall,1.6804172073283398e-05
204,walkup,0.00025114969171548685
205,walks,0.0003129059345815386
206,walking,4.201043018320849e-05
207,walkers,0.00021719051365928164
208,walker,3.403282966435121e-05
209,walked,6.227823578792974e-05
210,walk,0.00015717164880732918
211,wake,2.072262095516101e-05
212,waiting,1.6804172073283398e-05
213,waited,5.0565499631917403e-05
214,wait,4.201043018320849e-05
215,waist,2.854970600312278e-05
216,wage,0.00015610176742949359
217,wafting,0.000209455192355629
218,wa,0.00016743312781032456
219,vulnerable,2.072262095516101e-05
220,vulgar,0.00011991498284837589
221,voyaging,0.0008371656390516228
222,voyagers,0.00016743312781032456
223,voyage,0.00047965993139350357
224,voters,1.0361310477580506e-05
225,vote,3.108393143274152e-05
226,von,0.000470779006356874
227,volunteers,4.395461864951049e-05
228,volunteer,7.822648364538465e-05
229,volume,5.0565499631917403e-05
230,volleyball,5.9957491424187946e-05
231,voiced,0.00013380151493956594
232,voice,0.00012603129054962546
233,vogler,0.0007534490751464605
234,vocational,7.239683788642721e-05
235,vocal,3.9113241822692326e-05
236,vlad,8.371656390516228e-05
237,viva,0.00011991498284837589
238,visitor,8.155097462629989e-05
239,visiting,1.3097637400610764e-05
240,visited,8.70754252356749e-05
241,visit,2.6195274801221528e-05
242,visa,8.564911800936833e-05
243,virus,0.0013265495515856504
244,virtually,9.211864994180399e-05
245,virginia,0.00010209848899305362
246,viral,4.0775487313149945e-05
247,violin,8.155097462629989e-05
248,violent,0.00018718056315393164
249,violence,6.548818700305382e-05
250,violations,0.0003981826083753497
251,violation,0.00017129823601873666
252,village,6.219673231119634e-05
253,viewed,2.930307909967366e-05
254,view,3.832506817718753e-05
255,videos,0.00022300252489927655
256,video,5.8814602256491886e-05
257,victorious,0.00011991498284837589
258,victims,1.2439346462239271e-05
259,victimized,5.230877848409711e-05
260,victim,8.790923729902098e-05
261,vicky,8.371656390516228e-05
262,viciously,0.00010461755696819423
263,vibrato,0.00016743312781032456
264,viable,5.0565499631917403e-05
265,via,2.4878692924478543e-05
266,veterinarian,0.00020923511393638845
267,veterans,2.4878692924478543e-05
268,veteran,4.584173090213767e-05
269,vest,4.6059324970901995e-05
270,vessel,0.00036847459976721596
271,version,2.5206258109925095e-05
272,verne,0.00016743312781032456
273,vermont,4.4600504979855315e-05
274,verified,0.00020923511393638845
275,verdicts,0.00013963679490375266
276,venues,4.4600504979855315e-05
277,venue,0.00017840201991942126
278,venturing,5.9957491424187946e-05
279,ventilation,0.00010461755696819423
280,vehicles,2.930307909967366e-05
281,vehicle,0.00013186385594853148
282,vegetable,5.9957491424187946e-05
283,veered,0.00020923511393638845
284,vastly,0.00010461755696819423
285,vary,5.0565499631917403e-05
286,varies,0.00010461755696819423
287,vapid,0.00016743312781032456
288,vans,4.0775487313149945e-05
289,values,2.4878692924478543e-05
290,valid,4.0775487313149945e-05
291,vain,5.230877848409711e-05
292,vacay,8.371656390516228e-05
293,vacation,6.690075746978297e-05
294,vacating,0.00015692633545229135
295,vacated,0.00010859525682964082
296,vacate,5.230877848409711e-05
297,vacancies,5.9957491424187946e-05
298,va,3.9113241822692326e-05
299,utopia,5.9957491424187946e-05
300,utility,0.0004077548731314994
301,utilities,0.00024465292387889964
302,usually,3.108393143274152e-05
303,usual,8.508207416087801e-05
304,ussamah,0.00016743312781032456
305,using,0.00010539393748726571
306,users,0.00011419882401249111
307,user,5.230877848409711e-05
308,used,0.00011497520453156259
309,use,5.301022244112414e-05
310,usaamah,0.0011720318946722718
311,us,0.00011579947745881156
312,urgent,5.104924449652681e-05
313,urgency,8.920100995971063e-05
314,urged,2.930307909967366e-05
315,urban,0.00015541965716370758
316,upward,2.5282749815958702e-05
317,uptick,4.6059324970901995e-05
318,upstairs,5.866986273403849e-05
319,upsetting,4.0775487313149945e-05
320,upset,1.6804172073283398e-05
321,upon,3.108393143274152e-05
322,upgrade,0.00011419882401249111
323,upcoming,2.5282749815958702e-05
324,upbringing,0.00016743312781032456
325,unveiled,2.5282749815958702e-05
326,unveil,5.709941200624556e-05
327,unusual,8.402086036641698e-05
328,unsurprising,5.9957491424187946e-05
329,unseen,0.00017987247427256385
330,unsaid,6.981839745187633e-05
331,unrest,0.00011991498284837589
332,unrelenting,0.00013963679490375266
333,unplug,6.981839745187633e-05
334,unparalleled,6.981839745187633e-05
335,unpaid,0.00012864463407046415
336,unnerving,0.0002997874571209397
337,unnecessary,6.432231703523208e-05
338,unnecessarily,0.00011991498284837589
339,unnamed,0.00013963679490375266
340,unmistakable,5.230877848409711e-05
341,unlike,1.0361310477580506e-05
342,unlawful,2.5282749815958702e-05
343,unlamented,0.00016743312781032456
344,university,7.795620947224136e-05
345,universe,4.0775487313149945e-05
346,unity,5.0565499631917403e-05
347,united,0.00020165006487940076
348,unite,3.6198418943213604e-05
349,unit,7.252917334306353e-05
350,unique,2.4878692924478543e-05
351,union,6.548818700305382e-06
352,unharmed,6.981839745187633e-05
353,unhappy,0.0002038774365657497
354,unfortunately,2.5282749815958702e-05
355,unfortunate,6.432231703523208e-05
356,unfamiliar,4.0775487313149945e-05
357,unemployed,0.00026154389242048553
358,undone,0.00011991498284837589
359,understood,7.239683788642721e-05
360,understanding,3.108393143274152e-05
361,understand,5.041251621985019e-05
362,underserved,7.58482494478761e-05
363,underneath,0.00018099209471606801
364,underground,0.00013380151493956594
365,undergoing,8.564911800936833e-05
366,undercut,7.239683788642721e-05
367,undercover,0.00010113099926383481
368,uncovered,9.211864994180399e-05
369,unconstitutional,5.230877848409711e-05
370,unclouded,0.00016743312781032456
371,unclear,4.144524191032202e-05
372,uncle,0.0008251093421273233
373,uncertainty,8.920100995971063e-05
374,unaware,5.709941200624556e-05
375,unanimously,7.239683788642721e-05
376,unable,3.9113241822692326e-05
377,umass,2.930307909967366e-05
378,ultimately,3.731803938671781e-05
379,uber,0.0006258118691630772
380,u2009,3.731803938671781e-05
381,typically,3.108393143274152e-05
382,typical,0.00017840201991942126
383,types,2.930307909967366e-05
384,tyou,0.00011991498284837589
385,txn,0.00025114969171548685
386,two,0.0003824430110810751
387,twitter,2.4878692924478543e-05
388,twinge,8.371656390516228e-05
389,twin,9.211864994180399e-05
390,twenty,0.0001462730241584988
391,twelve,6.236496757779309e-05
392,tween,8.371656390516228e-05
393,tv,9.581267044296883e-06
394,turns,2.4878692924478543e-05
395,turning,7.463607877343562e-05
396,turned,3.9292912201832295e-05
397,turn,3.832506817718753e-05
398,tunnel,0.00014479367577285442
399,tuning,4.6059324970901995e-05
400,tune,3.6198418943213604e-05
401,tulsi,0.00016743312781032456
402,tufts,9.778310455673081e-05
403,tuesday,0.00013413773862015635
404,tthree,0.00010461755696819423
405,tthough,0.00017987247427256385
406,tthe,4.677372568334482e-05
407,tshots,8.371656390516228e-05
408,tshe,6.432231703523208e-05
409,trying,3.832506817718753e-05
410,try,9.354745136668964e-06
411,trust,5.180655238790253e-05
412,trump,4.790633522148441e-05
413,truly,6.690075746978297e-05
414,true,9.142064009906176e-06
415,trucks,3.403282966435121e-05
416,truck,2.072262095516101e-05
417,troubling,0.00014274853001561389
418,troublesome,6.981839745187633e-05
419,troubleshooting,8.371656390516228e-05
420,troubles,0.00013817797491270597
421,troublemaker,6.981839745187633e-05
422,troubled,6.219673231119634e-05
423,trouble,9.325179429822454e-05
424,trivia,4.6059324970901995e-05
425,trips,6.690075746978297e-05
426,triple,2.2300252489927657e-05
427,trip,5.041251621985019e-05
428,trio,6.690075746978297e-05
429,tried,3.353443465503909e-05
430,tribute,0.0001264137490797935
431,triangle,0.000209455192355629
432,trial,0.00031083931432741515
433,treseler,0.0003348662556206491
434,trenkler,0.0005022993834309737
435,trend,5.0565499631917403e-05
436,trench,0.00021719051365928164
437,tremont,0.00010113099926383481
438,tremendous,5.0565499631917403e-05
439,trees,1.9556620911346163e-05
440,tree,3.108393143274152e-05
441,treatments,0.00013817797491270597
442,treatment,2.072262095516101e-05
443,treated,1.7016414832175603e-05
444,travis,3.216115851761604e-05
445,traveling,8.508207416087801e-05
446,travelers,5.866986273403849e-05
447,traveled,2.930307909967366e-05
448,travel,8.402086036641698e-05
449,trauma,2.2300252489927657e-05
450,traub,0.00023982996569675178
451,trash,5.866986273403849e-05
452,trapping,0.00016743312781032456
453,trapped,0.00012864463407046415
454,transportation,4.201043018320849e-05
455,transmitted,0.00013963679490375266
456,transmits,0.00016743312781032456
457,transgender,2.854970600312278e-05
458,transferred,3.9113241822692326e-05
459,transcribed,0.0002792735898075053
460,transcending,0.0005022993834309737
461,training,0.00029011669337225413
462,trained,9.778310455673081e-05
463,train,6.23649675777931e-06
464,trahim,8.371656390516228e-05
465,tragic,4.0775487313149945e-05
466,traffic,1.5591241894448272e-05
