,term,weight
0,—lie,0.0005324497570022246
1,ziplines,0.0005324497570022246
2,zero,2.9072441184325572e-05
3,yet,6.093827877704758e-05
4,yesteryear,0.00038133853385856966
5,yellowfin,0.0005324497570022246
6,years,2.9072441184325572e-05
7,year,3.966504390918979e-05
8,yarmouthport,0.002662248785011123
9,yarmouth,0.002334043296678554
10,yanks,0.00038133853385856966
11,www,0.00038133853385856966
12,wreck,0.00033269158567583365
13,wraps,0.0002929441348814246
14,would,5.949756586378469e-05
15,world,7.933008781837958e-05
16,workshop,0.0002929441348814246
17,works,4.165145776383458e-05
18,work,3.876325491243409e-05
19,words,0.00021375405104249827
20,woods,0.000746298049009304
21,woodlands,0.0013321660740752389
22,wooden,0.00014183291173776964
23,wood,9.318596355503372e-05
24,wonder—an,0.0005324497570022246
25,women,1.9832521954594894e-05
26,witnesses,9.318596355503372e-05
27,within,1.9832521954594894e-05
28,wit,0.00023022731071491468
29,wintering,0.0005324497570022246
30,wines,0.0002929441348814246
31,wine,0.0002795578906651012
32,windswept,0.0004440553580250796
33,windsurf,0.0005324497570022246
34,winder,0.0004440553580250796
35,wind,0.00012438300816821734
36,wilds,0.0005324497570022246
37,wildlife—probably,0.0005324497570022246
38,wildlife,0.0007263214501287149
39,wilder,0.0004440553580250796
40,wild,0.00021645384186347983
41,width,0.0005324497570022246
42,wide,5.343851276062457e-05
43,whydah,0.0005324497570022246
44,whose,9.690813728108523e-06
45,whole,1.9832521954594894e-05
46,whitecaps,0.0004440553580250796
47,white,0.00015234569694261895
48,whimbrels—large,0.0005324497570022246
49,whether,3.966504390918979e-05
50,whelks,0.0005324497570022246
51,wheelchairs,0.00038133853385856966
52,whaling,0.0007626770677171393
53,whales,0.0008881107160501592
54,whalebone,0.0005324497570022246
55,weston,0.00018158036253217874
56,west,0.00021815774150054385
57,wellfleet,0.002334043296678554
58,well,7.933008781837958e-05
59,weekends,0.00014183291173776964
60,weekend,3.046913938852379e-05
61,weekday,0.00012438300816821734
62,week,9.690813728108523e-06
63,wednesdays,0.00038133853385856966
64,wednesday,3.966504390918979e-05
65,wear,5.343851276062457e-05
66,way,5.8144882368651145e-05
67,waves—just,0.0005324497570022246
68,waves,0.0005673316469510786
69,waters,0.000818198943617118
70,waterfront,0.0003246807627952198
71,water,0.00019832521954594895
72,watching,3.966504390918979e-05
73,watch,0.00026719256380312287
74,washington,3.046913938852379e-05
75,wash,0.00023022731071491468
76,warmed,0.00038133853385856966
77,warm,7.911608757125975e-05
78,war,5.343851276062457e-05
79,waquoit,0.0005324497570022246
80,wants,5.343851276062457e-05
81,want,2.9072441184325572e-05
82,wander,0.00023022731071491468
83,wan,0.0004440553580250796
84,wampanoag,0.0017762214321003183
85,walls,6.589947065030165e-05
86,walkway,0.00038133853385856966
87,walk,5.949756586378469e-05
88,wakeby,0.0005324497570022246
89,wade,0.0007626770677171393
90,votes,0.00010822692093173991
91,volumes,0.0002929441348814246
92,visual,0.00014183291173776964
93,visitor,0.0006136492077128386
94,visit,0.0002499087465830075
