,term,weight
0,zones,0.0004829900268308459
1,zehngebot,0.00906587615207574
2,yet,3.3000566125340606e-05
3,yesterday,0.0006965624636918561
4,yes,0.0008976417872989863
5,years,6.600113225068121e-05
6,year,0.00011550198143869212
7,wrote,0.00027014633468664225
8,written,0.0003639531670868373
9,wrapped,0.00027379322313688905
10,would,0.00014850254756403273
11,worse,0.00018197658354341864
12,workers,0.00013507316734332112
13,work,3.376829183583028e-05
14,wore,0.00011220522341237329
15,words,0.000283675184502909
16,wonder,0.0001842750134795438
17,without,1.6500283062670303e-05
18,winter,0.0001418375922514545
19,wife,3.3000566125340606e-05
20,widett,0.0012366876361322996
21,whole,6.753658367166056e-05
22,whether,0.00010375793791771241
23,wheelchair,0.0006353506219015734
24,west,0.0006225476275062745
25,went,6.753658367166056e-05
26,well,6.753658367166056e-05
27,weeks,3.376829183583028e-05
28,wealthy,0.0008471341625354312
29,way,6.600113225068121e-05
30,wave,9.098829177170932e-05
31,watcher,0.0018131752304151479
32,wary,0.0006732313404742398
33,warm,0.00013470879498491775
34,war,5.1878968958856206e-05
35,wanted,5.1878968958856206e-05
36,want,3.3000566125340606e-05
37,walsh,0.0003376829183583028
38,waiting,5.1878968958856206e-05
39,vrabel,0.006048647148510883
40,voice,7.091879612572725e-05
41,vibrant,0.0006346607495574456
42,vibrancy,0.0012985893502667106
43,veteran,0.0001418375922514545
44,versus,0.0010951728925475562
45,vast,0.0003685500269590876
46,usoc,0.0027862498547674246
47,useful,0.0004235670812677156
48,used,3.3000566125340606e-05
49,use,3.3000566125340606e-05
50,us,0.0
51,urgency,0.00024149501341542295
52,urban,0.001080585338746569
53,upon,0.0003366156702371199
54,unwieldy,0.0015121617871277208
55,unsuspecting,0.0018131752304151479
56,understand,0.00013507316734332112
57,underestimated,0.006048647148510883
58,uncles,0.0005664648491072936
59,type,0.00011220522341237329
60,tybie,0.0018131752304151479
61,two,0.0
62,twitter,0.0003173303747787228
63,twenty,0.0
64,turn,6.753658367166056e-05
65,true,0.0008976417872989863
66,trap,0.0005664648491072936
67,tragedy,0.0003173303747787228
68,track,0.00010375793791771241
69,traces,0.0017662718142150502
70,towers,0.0007371000539181752
71,top,3.3000566125340606e-05
72,tools,0.0006732313404742398
73,tom,0.0001418375922514545
74,together,0.000236378042850812
75,titles,0.0004829900268308459
